date,Unnamed: 0,impressions,date,reach,comments,likes
2022-02-28,441,340,2022-02-28,284,0.0,0.0
2022-03-01,442,336,2022-03-01,250,0.0,0.0
2022-03-02,443,197,2022-03-02,127,0.0,0.0
2022-03-03,444,147,2022-03-03,58,0.0,0.0
2022-03-04,445,37,2022-03-04,27,0.0,0.0
2022-03-05,446,578,2022-03-05,303,0.0,0.0
2022-03-07,449,249,2022-03-07,128,0.0,0.0
2022-03-08,450,171,2022-03-08,78,0.0,0.0
2022-03-09,451,234,2022-03-09,108,0.0,0.0
2022-03-10,452,322,2022-03-10,165,0.0,0.0
2022-03-11,453,164,2022-03-11,83,0.0,0.0
2022-03-12,454,441,2022-03-12,380,0.0,0.0
2022-03-14,457,95,2022-03-14,55,0.0,0.0
2022-03-15,458,36,2022-03-15,19,0.0,0.0
2022-03-16,459,399,2022-03-16,336,0.0,0.0
2022-03-17,460,178,2022-03-17,139,0.0,0.0
2022-03-18,461,113,2022-03-18,78,0.0,0.0
2022-03-19,462,70,2022-03-19,45,0.0,0.0
2022-03-21,465,237,2022-03-21,210,0.0,0.0
2022-03-22,466,37,2022-03-22,23,0.0,0.0
2022-03-23,467,595,2022-03-23,465,0.0,0.0
2022-03-24,468,163,2022-03-24,143,0.0,0.0
2022-03-25,469,86,2022-03-25,52,0.0,0.0
2022-03-26,470,98,2022-03-26,34,0.0,0.0
2022-03-28,473,682,2022-03-28,486,0.0,0.0
2022-03-29,474,81,2022-03-29,49,0.0,0.0
2022-03-30,475,44,2022-03-30,30,0.0,0.0
2022-03-31,476,88,2022-03-31,39,0.0,0.0
2022-04-01,477,161,2022-04-01,93,0.0,0.0
2022-04-02,478,70,2022-04-02,41,0.0,0.0
2022-04-04,481,55,2022-04-04,25,0.0,0.0
2022-04-05,482,45,2022-04-05,35,0.0,0.0
2022-04-06,483,32,2022-04-06,23,0.0,0.0
2022-04-07,484,38,2022-04-07,23,0.0,0.0
2022-04-08,485,684,2022-04-08,589,0.0,0.0
2022-04-09,486,148,2022-04-09,125,0.0,0.0
2022-04-11,489,74,2022-04-11,34,0.0,0.0
2022-04-12,490,160,2022-04-12,152,0.0,0.0
2022-04-13,491,53,2022-04-13,38,0.0,0.0
