,impressions,date,reach
587,2680,2022-09-10,1865
588,2614,2022-09-11,1857
589,2627,2022-09-12,1855
590,2301,2022-09-13,1606
591,1751,2022-09-14,1297
592,1714,2022-09-15,1292
593,1135,2022-09-16,772
594,1101,2022-09-17,750
595,1125,2022-09-18,763
596,1119,2022-09-19,762
597,1522,2022-09-20,1161
598,1559,2022-09-21,1193
599,1307,2022-09-22,1071
600,1235,2022-09-23,1034
601,1369,2022-09-24,1083
602,1388,2022-09-25,1117
603,1359,2022-09-26,1103
604,690,2022-09-27,485
605,586,2022-09-28,385
606,739,2022-09-29,449
607,891,2022-09-30,509
608,750,2022-10-01,441
609,674,2022-10-02,385
610,685,2022-10-03,395
611,748,2022-10-04,404
612,753,2022-10-05,404
613,570,2022-10-06,329
614,423,2022-10-07,208
615,383,2022-10-08,168
616,409,2022-10-09,175
617,597,2022-10-10,179
618,544,2022-10-11,168
619,2263,2022-10-12,1573
620,3325,2022-10-13,2418
621,3461,2022-10-14,2616
622,3558,2022-10-15,2685
623,3626,2022-10-16,2749
624,3561,2022-10-17,2788
625,3597,2022-10-18,2800
626,2274,2022-10-19,1657
627,1403,2022-10-20,861
628,1771,2022-10-21,940
629,2423,2022-10-22,1171
630,2507,2022-10-23,1169
631,2505,2022-10-24,1164
632,2799,2022-10-25,1309
633,4117,2022-10-26,2467
634,4514,2022-10-27,2784
635,4249,2022-10-28,2780
636,3505,2022-10-29,2521
637,3380,2022-10-30,2477
638,3280,2022-10-31,2484
639,2956,2022-11-01,2258
640,2740,2022-11-02,1902
641,2980,2022-11-03,1872
642,2969,2022-11-04,1865
643,15568,2022-11-05,11713
644,19696,2022-11-06,14549
645,22126,2022-11-07,16226
646,22733,2022-11-08,16585
647,21608,2022-11-09,16144
648,20968,2022-11-10,15827
649,21248,2022-11-11,16114
650,8891,2022-11-12,7108
651,4970,2022-11-13,3941
652,3454,2022-11-14,2892
653,3808,2022-11-15,2997
654,3806,2022-11-16,3001
655,3793,2022-11-17,3041
656,3449,2022-11-18,2811
657,3319,2022-11-19,2715
658,3145,2022-11-20,2619
659,2318,2022-11-21,1835
660,1655,2022-11-22,1311
661,1409,2022-11-23,1131
662,1309,2022-11-24,1038
663,1412,2022-11-25,1138
664,1477,2022-11-26,1202
665,1589,2022-11-27,1322
666,1574,2022-11-28,1307
667,1373,2022-11-29,1212
668,1387,2022-11-30,1236
669,1653,2022-12-01,1468
670,1810,2022-12-02,1552
671,1841,2022-12-03,1552
672,1906,2022-12-04,1533
673,1875,2022-12-05,1503
674,1915,2022-12-06,1516
675,1930,2022-12-07,1489
676,1664,2022-12-08,1273
677,1280,2022-12-09,966
678,1126,2022-12-10,814
679,1038,2022-12-11,706
680,1055,2022-12-12,693
681,1024,2022-12-13,632
682,892,2022-12-14,542
683,800,2022-12-15,484
684,772,2022-12-16,455
685,758,2022-12-17,443
686,639,2022-12-18,409
687,796,2022-12-19,439
688,771,2022-12-20,459
689,787,2022-12-21,480
690,935,2022-12-22,605
